Unique ID,Post,Labels Set
2582,"5 अगस्त के लिए तैयार है हमारी अयोध्या
हर घर भगवा छाएगा 🚩🚩🚩
राम राज्य फिर आयेगा🚩🚩🚩
जय श्री राम 🚩 🚩 🚩",fake
2583,"PMCARE फण्ड पब्लिक अथॉरिटी नही है इसलिए RTI नही लागू होती। मतलब प्राइवेट ट्रस्ट है। ट्रस्ट/सोसाइटी का रजिस्ट्रेशन , इनकम टैक्स छूट आदि महीनों लग जाते हैं। डोनेशन 3 साल बाद मिलता है। फिर PMCARE को 4 दिन में 2105 करोड़ सरकारी उपक्रम से कैसे मिल गया। मतलब मोदी जी के लिए कानून नही।",non-hostile
2584,"राष्ट्र यदि शरीर है तो धर्म उसकी आत्मा है🚩🇮🇳
👉शरीर बदलते रहते है किन्तु आत्मा अविनाशी है
आत्मा के विनाश को ही सर्वनाश कहते है
👎🏿भारत के जिस भागसे भी सनातन को माननेवाले मिटे वो भूमि राष्ट्र के शरीर से अलग हो गई है
स्वयं विचार करे🤔
जय हिंद🇮🇳
#सनातन_सर्वश्रेष्ठ_है
हर हर महादेव🚩","fake,offensive"
2585,"RT @Nattashasharrma: बचपन में घरवाले डराते थे..??

दाढ़ी वाले बाबा"" झोला लेकर आएंगे और सब कुछ ले जायेंगे..??

क्या पता था कि इस उम्र में उन…",hate
2586,"हिंदू देवी देवताओं पर अभद्र टिप्पणी करने वाली हीर खान पर FIR दर्ज, फरार।

जब भी ये लोग ऐसा करते हैं तो मुझे अपने #हिन्दू_धर्म पर गर्व होता है। 

मेरे धर्म की सच्चाई-मजबूती ही इनकी नाराजगी का कारण है।

इन्हें अपने धर्म पर गर्व होता तो ये दूसरों को गाली न देते।

#ArrestHeerKhan","hate,offensive"
2587,#JEEMain का एग्जाम देने के बाद छात्रा ने बताया अपना अनुभव (रिपोर्ट- अनूप पांडेय) https://t.co/RhtzJCA0Tz,non-hostile
2588,"क्या कोई धर्म या कोई मजहब ऐसा करने की इजाजत देता है जाहिल गवार लोग एक बुजुर्ग आदमी की इज्जत उछा रहे हैं इंसान की सबसे बड़ी दौलत है और ताकत उसकी इज्जत होती है और अखलाक से बड़ा कोई मोहब्बत नहीं लेकिन एक जाहिल गवार लोग नहीं समझ सकते तुम मुसलमान हो तुम सुकून से नहीं जी सकते तुम्हारी इज्जत लूटी जाएगी तुम्हें मार दी जाएगी कल रात मेरी आंखें कहते हुए रोई भारत के मुसलमानों की आवाज सुने कोई #Safwan_Saleem #Viral"" (Sic) |

",fake
2589,भारतीय सेना द्वारा पांच चीनी सैनिकों को गोली मारने के बाद कम्युनिस्ट पार्टी के नेताओं ने दिल्ली में रैली की। बड़ा दुर्भाग्य है।,fake
2590,"यूपीः गाजियाबाद में कार चालक की हत्या का मामला, चार लोग गिरफ्तार

#CarDriver #Murder #Ghaziabad 

https://t.co/zKK6dTN1rU",non-hostile
2591,"शुरू हो गया लालू यादव की पार्टी RJD में बवाल, रघुवंश प्रसाद सिंह के समर्थकों ने ये बड़ा कदम उठाया

रिपोर्टः- @kumarprakash4u 

#RaghuvanshPrasad #RJD #LaluYadav #RamaSingh 

https://t.co/Gr5Bf9G5IE",non-hostile
2592,"कंगना रनौत के ऑफिस पहुंचे बीएमसी कर्मचारी, अभिनेत्री ने कहा- 'मेरा सपना टूटने का वक्त आ गया है'
#KanganaRanaut #BMC #Mumbai
https://t.co/mVo1atEWBe",non-hostile
2593,"#जीवनसंवाद खुद को जानना हो, तो लोगों की आंखों में छवि का मोह छोड़ना पड़ेगा. दूसरों की ओर देखना बंद करना होगा. मन अपने प्रकाश से आलोकित होना चाहिए. चंद्रमा की तरह सबका काम दूसरे के उजाले से नहीं चल सकता! https://t.co/z5GRk5Fym6 #MondayMotivation",non-hostile
2594,"कौन कह रहा है प्रदेश में भर्ती प्रकिया रुकी है?? हो तो रही है कॉंग्रेस से बीजेपी में भर्ती..शायद इसलिए ही चुना था हमने इन्हें..
और जो रोजगार मांगता हैं उन्हें ये लाठी देते हैं और गिरफ्तार करते है. ",hate
2595,प्रशांत भूषण को अवमानना मामले में आज सज़ा सुना सकता है सुप्रीम कोर्ट https://t.co/6gdnIKitP7,non-hostile
2596,"दिल्ली-मुंबई के रास्ते गोआ होनी थी पार्सल

@narcoticsbureau #Drugs #Marijuana @pramodsharma29 

https://t.co/uo1sSSPfOb",non-hostile
2597,"@advneerajtpbh: सही कहा भाई,

बॉडी तो नहीं जलाते,
पर देश जलाते हैं।।
जहां जिसकी पत्तल में खाते,
उसमें भी छेद कर जाते हैं।।

@Sudhir_mish…",offensive
2598,"मोदी जी बने पहले प्रधानमंत्री जिनके रहते 72 साल में पहली बार बंगलादेशी टका से रुपया कमजोर हुआ ,
116 ₹ दो ओर 100 बंगलादेशी टका लो !",fake
2599,"#Noida- नोएडा TI से उनके का सिपाही अपने ही महकमें के अघिकारियोंमसे  सिपाही परेशान, TI राम रतन पर शोषण करने का आरोप, वीडियो मैसेज भेजकर अफसरों से की शिकायत,ट्रैफिक के ग्रुप में वीडियो डालकर की शिकायत,TI राम रतन के साथ ड्यूटी न लगाने की गुहार@noidapolice @Uppolice #policemedianews",non-hostile
2600,"क्या ज़हर से गई सुशांत की जान ?

#SushantKaSachKya पर ट्वीट कर दें अपनी राय 
@mamtaketankale @_SanjayGupta @imshreyanarayan @abhasinghlawyer
@Kunickaa @ShainaNC

देखिए ताल ठोक के 4:55 PM @ZeeNews पर @AmanChopra_ के साथ https://t.co/6RoEb9btIv",non-hostile
2601,"#IndianRailways जेईई, नीट, एनडीए परीक्षा अभ्यर्थियों के लिए #Bihar में दो से 15 सितंबर तक विशेष ट्रेनें चलाएगा।

https://t.co/UC7omCPXkX",non-hostile
2602,आईआईटी बंबई ने चीन के ऐप के विकल्‍प के रूप में एक कैमस्‍कैनर शुरू किया https://t.co/iuSodL0xVK,non-hostile
2603,"ये लडाई Exam process सुचारू करने के करने के लिए है, politics या बगावत के लिए नहीं।
#SpeakUpForSSCRaliwaysStudents #सर्वप्रिय_योगीजी",offensive
2604,"@juniorbachchan भाई तेरी माँ को औक़ात में रख साली हरामी थाली की बात करती है अरे तेरी ये बूढ़ी को जिसने इतनी बड़ी मदद की थी अमर सिंघजी उनके साथ क्या किया था?जो अब भोंक रही है साली हरामी,मक्कार,ग़द्दार,वाहियात,कुत्ती कमीनी!।",hate
2605,"#IndiaChinaBorderNews: औद्योगिक और खाद्य संकट से बौखलाया चीन, 1962 जैसे हालात
#china #IndiaChinaBorderTension 
https://t.co/ChNH7gircF",non-hostile
2606,"#Saharanpur SSP एस चिनप्पा ने किया निरीक्षण, पीएसी के 276 पदों के लिए सत्यापन, रिजर्व पुलिस लाइन में किया निरीक्षण। @saharanpurpol @Uppolice #WorldEyesOnCBI4SSR #SoccerAid #CbiInvestigationForHssc #UPPolice #policemedianews",non-hostile
2607,"दिल्ली में मुठभेड़ के बाद दो आतंकी गिरफ्तार
#Delhi @DelhiPolice @HMOIndia
https://t.co/QzVBr9X8KO",non-hostile
2608,"देश की GDP -24% गिर गई और अंबानी की इनकम 35% बढ़ गई, किसके लिए काम कर रहे हैं PM मोदी?",defamation
2609,RT @WasiuddinSiddi1: वाक़ई आज अच्छे दिन आ गये ? जैसा बोओगे वैसा ही काटोगे ?,"hate,offensive"
2610,"#ChennaiSuperKings के खिलाड़ी #DeepakChahar कोरोना से ठीक हो चुके हैं।

https://t.co/orBa5eXeIe",non-hostile
2611,"तेरह हज़ार करोड़ में मेरी सिर्फ 32 % हिस्सेदारी है, बाकी कांग्रेसी नेताओं का है इसलिए हरामजादों को मोदी से डर लगता है

नीरव मोदी ने दिया भाजपा और कांग्रेस के ख़िलाफ़ बयान

",fake
2612,"भारत में पिछले 24 घंटे में दर्ज हुए 69,921 नए COVID-19 केस, कोरोनावायरस से 819 की मौत

https://t.co/RGi890OZvP",non-hostile
2613,"राम का बहाना, काम नफरत फैलाना ?

बंगाल से यूपी तक राम पर कोहराम क्यों ?

जबरदस्ती की जय से खुश होंगे राम ? 

#सीधासवाल @RubikaLiyaquat के साथ 

आज शाम 5 बजे https://t.co/1d2BVxvpSs",non-hostile
2614,"मुख्यमंत्री श्री @myogiadityanath जी द्वारा जिलाधिकारियों को यह भी निर्देश दिए गए हैं कि प्रदूषित जलजनित वेक्टर (मक्खी, मच्छर) जनित रोगों की रोकथाम हेतु आवश्यक कार्यवाही की जाए: राहत आयुक्त, श्री संजय गोयल जी

@ShishirGoUP",non-hostile
2615,ALERT: 'एलएसी पर 1000 वर्ग किमी. इलाक़े में चीन का कब्ज़ा' https://t.co/2vdbPrU0y0,non-hostile
2616,प्रधानमंत्री नरेंद्र मोदी के नेतृत्व वाली केंद्र सरकार ने उच्च शिक्षा के लिए बजटीय आवंटन में भारी गिरावट की है।,fake
2617,@anuragkashyap72 @PriyankaKhimani ऐसे दल्ले बॉलीवुड को बदनाम कर रहे हैं जिनकी बॉलीवुड में कोई हैसियत नहीं एक भी फिल्म उसकी  हिट नहीं दो-चार छिनरा छिनरी दो चार भरुआ मिलकर बॉलीवुड को बदनाम कर रहे हैं दल्ले  पहचान बनाने के लिए काम करने की जरूरत पड़ती है दलाली नहीं  काम करेगा तो बेटा नाम होगा नहीं तो जूते पड़ेंगे,"defamation,offensive"
2618,"मेरे दादा फौज में मेजर थे और उनको पेंशन भी मिलती थी,दादा अब नहीं रहे पर मेरी नाक मेरे दादा से मिलती है तो क्या मुझे फौज में मेजर की नौकरी मिल जाएगी..!",defamation
2619,"प्रदेश में ई-संजीवनी पोर्टल का लगातार प्रयोग किया जा रहा है। कल 1,960 लोगों ने ई-संजीवनी पोर्टल का प्रयोग करते हुए डाॅक्टरों से सलाह ली: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी
@ShishirGoUP",non-hostile
2620,"#GoldPrice Today: सोना आज फिर हुआ महंगा, जानें 1 सितंबर का रेट https://t.co/ja584bPQda",non-hostile
2621,"कंगना को Y कैटेगरी की सुरक्षा: मुंबई पहुंचने से पहले ही कंगना के दफ्तर पर बीएमसी ने छापा मारा, महाराष्ट्र के मंत्री ने उन्हें भाजपा का पोपट कहा https://t.co/jBYAtFs5w1 #KanganaRanaut #Mumbai @shivsena @mybmc @KanganaTeam
@VijayWadettiwar @AnilDeshmukhNCP @rautsanjay61 @BJP4India",non-hostile
2622,"आपको याद होगा रमजान महीने में ये खबर खूब चली थी, शिवानी और रिया नामक हिन्दू बेटियों ने हिन्दू-मुस्लिम एकता की मिसाल दी । अरे क्यों दी, ये भी तो बताते ?? शिवानी ने पहले तो रोजा रखा, आज इस शिवानी के मजहबी पति ने ठुकाई कर दी । सारी गंगा जमुनी तहजीब निकल गयी पिछवाड़े से । लव जिहाद हुआ था मजहबी से शिवानी का, अब भुगत रही है उम्मीद है जल्दी ही रिया का भी ऐसा कोई फोटो आये तो अचरज मत करना ।",fake
2623,"31 अगस्त, 2020 को GDP के आंकड़े आए हैं. वित्त वर्ष 2020-21 की पहली तिमाही के. मतलब अप्रैल-मई-जून के. और आंकड़े डराने वाले हैं.

-23.90

जी. ऋण तेइस दशमलव नौ शून्य प्रतिशत
@darpansah 
https://t.co/BeH41Qn4GZ",non-hostile
2624,"पड़ोसी राज्यों के लोग भी कराना चाहते है दिल्ली में इलाज। 
स्वास्थ्य सेवा में सबसे बेहतर केजरीवाल। https://t.co/nE6JhemJCS",non-hostile
2625,"भाउ श्री के ब्लेक टिकिट बेचकर खुद बहुत काला पैसे कमाए हो,ओर काले दिन की बात करते शर्म नही साले सांढ़.... तू खुद लुटियन मोड़ में है....😠
@SanjayAzadSln https://t.co/NHo4wClj1H",offensive
2626,"कोरोना देश में:मृत्यु दर में 0.22% की गिरावट, 1.77% पर पहुंची, 7 राज्यों में यह 2% से भी कम; देश में अब तक 36.94 लाख केस
https://t.co/GQIk6Jr4T4

#CoronaUpdatesOnBhaskar @MoHFW_INDIA @AyushmanNHA @PMOIndia https://t.co/0XgRrL0TKI",non-hostile
2627,"लॉकडाऊनचे सर्व नियम पाळून घरातल्या घरात लग्न करणाऱ्या जोडप्याला @nashikpolice यांनी अनोख्या शैलीत दिल्या शुभेच्छा!  एक जोड़े ने बिना किसी नियम का उल्लंघन किए अपने घर पर ही विवाह करने का निर्णय लिया इसीलिए नाशिक पुलिस ने अपने तरीक़े से उनको बधाइयाँ दी।


",fake
2628,"महाराष्ट्र में घर खरीदना होगा सस्ता, डिस्काउंटेड रेट पर होगी मकानों की रजिस्ट्री
https://t.co/s2IIyOoUiz via @NavbharatTimes 
#Housing #Property",non-hostile
2629,"दिल्ली की जनता को बधाई। 

एक तरफ़ जहां पूरे देश में साल दर साल बिजली की दरें बढ़ रहीं हैं, दिल्ली में लगातार छट्ठे साल बिजली के दर नहीं बढ़ने दिए और कुछ क्षेत्र में दर कम भी किए।

ये एतिहासिक है। ये इसलिए हो रहा है क्योंकि आपने दिल्ली में एक ईमानदार सरकार बनाई।",non-hostile
2630,अंधभक्तों सालो ये बताओ कुलदीप सिंह सेंगर को जमानत क्यू मिली ? अब तो साफ समझ में आ रहा की बलात्कारी जनता पार्टी लॉकडाउन करके कांड कर रही है जो को बिना तालाबंदी के सम्भव नहीं था @Republic_Bharat @PTI_News @ndtv @RajatSharmaLive,"hate,offensive"
2631,@AshokLokhande2 @KanganaTeam बहुत कमीनी है तेरा पोस्ट,"defamation,fake"
2632,"जैसे कमाने के बाद N-95 मास्क बेकार घोषित हो गया। वैसे ही कमाई के बाद सेनेटाइजर, हैंडवाश और immunity booster दवायें भी बेअसर घोषित हो जाएंगी। फिर वैक्सीन से कमाने का दौर शुरू होगा। आप डर बनाये रखिये और हम बाजार बनाये रखते हैं।World Horror Organization (WHO)हमेशा आपके डर के साथ है!",fake
2633,"RT @_Pb_swain_: क्या आपको पता है 🤔?

भारत में सबसे पहले सॉरी बाबू एडविना ने लेहरू जी,को बोला था क्योंकि लेहरु जी भी बड़े नॉटी थे..😂😂😂",defamation
2634,"#करोना की आड़ में 
#अंग_तस्करी_व्यापार चल रहा है क्या???
#मृत_शरीर की पैकेजिंग की वीडियो क्यूं नही बनाते??
@narendramodi @WHO 
@Ravishndtvv @fighterMamta @meenavoice @iDhanrajMeena @RamkishanMeena0 @_safoora_zargar @PJkanojia @Ambedkar_Boys @Dr_Uditraj @aajtak @SharadYdOffice",non-hostile
2635,"#ReportForSSR | क्या ड्रग्स वाली जांच अब नेताओं तक पहुंच गई है, इसीलिए सवाल पूछने वालों को रोका जा रहा है? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE : https://t.co/SDGVEbtJgs https://t.co/U13340o8SD",non-hostile
2636,"#राहुल_गांधी के साथ ये वही #जिहादिन है जो कल सुरक्षा बलों पर पथराव कर रहे दंगाई को बचा रही थी और भद्दी भद्दी गालिया दे रही थी।🤔 राहुल के साथ इसका फ़ोटो देखकर एक बात साफ हो गई कि ये दंगे पूर्ण रूप से सुनियोजित तरीके से #कोंग्रेस ओर #आम_आदमी_पार्टी के मिलीभगत से हुआ है।😠 आज पूरा देश देख रहा है कितने गद्दार भरे पड़े हैं हमारे बीच में।

",fake
2637,"चुनावी सरगर्मी के बीच पूर्व मुख्यमंत्री जीतन राम मांझी ने सीएम नीतीश से की मुलाकात

(रिपोर्ट: @kumarprakash4u)

#JitanRamManjhi  

https://t.co/E8tWmEoRXQ",non-hostile
2638,"इसे कहते है फार्म भरने जाना,,आंखें फाड़ के देख लो चमचों शेर की चाल |

'अटल बिहारी अमर'रहे के नारे साफ़ सुनाई दे रहे हैं |

",fake
2639,"हिंदुओं के प्रति महाराष्ट्र सरकार बहरी हो चुकी है जल्द ही एक बड़े आंदोलन करना होगा 
@CMOMaharashtra बाहरी हो गई है ",hate
2640,"@sambitswaraj संजय राउत ने शिवसेना की अच्छी खासी हैसियत को, 

2 कौड़ी की औकात में बदल दिया सरकारी तंत्र का इससे घटिया इस्तेमाल पहले कभी नहीं देखा होगा.",hate
2641,"बिहार का मुज़फ्फरपुर ज़िला. यहां 35 बरस के एक आदमी का शव तीन दिन तक फांसी के फंदे पर लटकता रहा. जब कमरे से बदबू आई, तो उसकी बहन ने पुलिस को बुलाया. कमरे का दरवाज़ा तोड़ा गया, तब पता चला कि आदमी की मौत हो चुकी है.
https://t.co/CZIpjY8PgD",non-hostile
2642,व्हाट्सएप मैसेज में https://t.co/TG3v6LBJcw को आयुष्मान भारत योजना की आधिकारिक वेबसाइट बताकर फैलाया जा रहा है।,fake
2643,"मोतिहारी रेलवे स्टेशन पर कल 500 किलो (कुत्ते का मास पकडा गया) जो जयसवाल, बच्चन, और मोतिहारी की होटल मे सप्ल्य किया जा रहा था।

","fake,offensive"
2644,"मुसलमान सिख का वेश रखकर यह दिखा रहा है की सिख नागरिकता संशोधन विधेयक के ख़िलाफ हैं, फ़र्ज़ी प्रोपेगंडा

",fake
2645,"@naqvimukhtar @rsprasad कमिना के साथ कामिना का खेल अब खेलना पड़ेगा तब ही तुमलोग शांत होंगे।
मुंबई में देख ही लिया था अब सब जगह ऐसा ही मिलेगा।सियार का रंग पहचान में आ गया है।",offensive
2646,"#RheaChakraborty को गौरव आर्या 2017 में मिले थे. 
https://t.co/dDyhj7GEgq",non-hostile
2647,RT @WasiuddinSiddi1: सुशासन बाबू अपने वर्चुअल चुनावी भाषणों में सुशान्त सिंह राजपूत आत्महत्या की सीबीआई जाँच का क्रेडिट ले रहे है फिर भी ये…,hate
2648,प्रणब मुखर्जीः इंदिरा गांधी के क़रीबी जिनकी राजीव गांधी से नहीं बनी https://t.co/rAIiK19Grt,non-hostile
2649,@KanganaTeam महाराष्ट्र में कांग्रेस द्वारा शवसेना की गुंडागर्दी केवल फेक प्राइड के माध्यम से फैलाई जा रही है।,defamation
2650,"योगी जी का नया पोल्‍ट्री फार्म यूपी में.
👇
@Nation_is1st @DebojeetGoswami @brijeshsinghrc1 @saxena2509 @shreeshmisra @rajatbath @RAJITANWAR @vikassyal @raam_thakur @PANMATAR1 @PundirShshank @NPGLHC @Kanchan43569855                                                                                                                                                                                                                                             ये तरीके अत्यधिक निंदनीय हैं। पुलिस को या तो जुर्माना लगाना चाहिए या ऐसे पुलिस वीडियो को अपलोड करना चाहिए।'

",fake
2651,"भारत में कोविड-19 हॉस्पिटल | भारत में कोविड-19 हॉस्पिटल में फ़िल्माया गया है | इस वीडियो में वेर्वेट प्रजाति के बन्दर एक हॉस्पिटल वार्ड से खाना चुराते नज़र आते है जहाँ मरीज़ उनसे खुद को बचाते दिख रहे हैं |

",fake
2652,ग्रामीण विकास मंत्रालय ने प्रधानमंत्री आवास योजना के तहत पंचायत और ज़िला परिषद के पदो के लिए आवेदन जारी किए हैं,fake
2653,"बहुत मुश्किल से ये फोटो मिला हैं जवाहरलाल नेहरु. इंद्रा गांधी के ससुर युनुस खान इंद्रा गांधी. के पति फिरोज खान
",fake
2654,"रघुराम राजन ने कहा कि ऐसा लगता है कि सरकार अपने आप में ही सीमित हो गई है
https://t.co/5nJPlWbtS5",non-hostile
2655,"दिल्ली की एक कोर्ट ने आसाराम बापू पर आधारित एक किताब के प्रकाशन पर रोक लगा दी है. किताब का नाम Gunning for the Godman: The True Story Behind Asaram Bapu’s Conviction है, जिसे आईपीएस अधिकारी अजय लांबा ने लेखक संजीव माथुर  के साथ मिलकर लिखा है. 

https://t.co/YBo25OTuit",non-hostile
2656,"सुशांत की बॉडी ले जाने वाले एंबुलेंस ड्राइवर को संदीप सिंह ने क्यों किए इतने फोन? खुद दिया जवाब -
#SSRDeathCase 

https://t.co/VFPiFhbTf3",non-hostile
2657,"इनके बारे में क्या मोदीजी। वे आपके अनुरोध, अपील की कम से कम फिक्र करते हैं। क्या वे कानून का सामना करेंगे, क्योंकि वे स्वेच्छा से कानून को नहीं मानते। कोई आइडिया, कहां की फोटो है।",fake
2658,"RT @Komal_433: साथियो अब बेरोजगार युवाओं का समर्थन शुरु करो 
Rt करे समर्थन के लिए।
#9बजे9मिनट",hate
2659,"केन्द्रीय गृह मंत्री @AmitShah ने कहा कि पूर्व राष्ट्रपति, भारत रत्न श्री #PranabMukherjee का निधन पूरे देश के लिए बहुत ही दुखद है

“प्रणब दा कई दशकों तक भारतीय राजनीति के क्षितिज में प्रणव की तरह ही कांतिमान रह कर काम करते रहे”

▶️https://t.co/jbAOttOUiC

https://t.co/eUJ0rrT7W6",non-hostile
2660,"चलेगा बुल्डोजर तो आएगा वाड्रा का मकान भी जद में..!! 
यहां अवैध सिर्फ कंगना का मकान थोड़ी है.😂😂",defamation
2661,"मप्र के सीएम, नौ मंत्री और 20 विधायकों को घेर चुका कोरोना, फिर भी बढ़ रहीं सियासी गतिविधियां
#MadhyaPradesh #ShivrajSinghChauhan #MPPolitics
https://t.co/t0zxvOT0wT",non-hostile
2662,"यूपी: आज से चलेगी नोएडा मेट्रो, यात्रा के लिए इन शर्तों का करना होगा पालन

#Noida #NoidaMetro #Metro 

https://t.co/aXN2ZA5g6r",non-hostile
2663,"मध्य प्रदेश में उपचुनाव से पहले फैली कांग्रेस नेता के मौत की खबर, वीडियो के जरिए देना पड़ा ज़िंदा होने का सबूत 

#MadhyaPradesh

https://t.co/0Ar1QsZ7BX",non-hostile
2664,"यह विडियो पिपलेश्वर महादेव मंदिर मोछाल ( सिरोही ) का है हर रोज ये चीता परिवार मन्दिर के सेवक को अपना समझ कर उनके साथ सो जाते हैं।
@DrKumarVishwas @RTforINDIA @digvijaya_28 @pankhuripathak 
#ShreeRamJanmBhumi",fake
2665,समेकित कोल्‍ड चेन और मूल्‍य संवर्धन संरचना के विकास के लिए 27 परियोजनाओं को मंजूरी https://t.co/YUur3YFFFs,non-hostile
2666,"महाराष्ट्र के गृहमंत्री अनिल देशमुख ने कहा है कि संदीप से जुड़े मामलों की, उनके बॉलीवुड से, बीजेपी से कनेक्शन की अच्छे से जांच होगी.

https://t.co/f4IijA64kd",non-hostile
2667,मोदी तेरे राज में केवल  गाय सुरक्षित हैं ना कि  किसी की मां बहन...,defamation
2668,"इस साल प्रीमियम स्मार्टफोन बाजार में सैमसंग का रहा दबदबा
https://t.co/027ywWXUDT via @NavbharatTimes 
#Samsung #SamsungGalaxy #SamsungGalaxyM51 https://t.co/ddz2Jg33CS",non-hostile
2669,"बिहार में कोई दल अपने बूते चुनाव जीतकर सरकार बनाने की स्थिति में नहीं: सुशील मोदी
https://t.co/4WqKAYQ2iH",non-hostile
2670,"प्रदेश के कन्टेनमेंट जोन में 89,26,152 लोगों को चिन्हित किया गया है। इन कन्टेनमेंट जोन में कोरोना पॉजिटिव लोगों की संख्या 45,275 तथा इंस्टीट्यूशनल क्वारंटीन किए गए लोगों की संख्या 33,762 है: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी https://t.co/rmTlz4fgSK",non-hostile
2671,"नीतीश कुमार का सुशासन पानी में तैर रहा है। मुजफ्फरपुर, भागलपुर, बिहार शरीफ और पटना को स्मार्ट सिटी बनाने की लिए चुना गया था जो आज भी बरसात के पानी जलभराव से परेशान है।

बिहार का संकल्प,
बदलाव ही विकल्प।",fake
2672,"नसीरूद्दीन शाह की भी तबियत खराब होने की खबर आ गयी है। ये हमेशा भीड़ भाड़ में रहने वाले कलाकार लगता है! 
कि लॉकडाउन की कैद झेल नही पा रहे हैं। 
#StandwithShruti","fake,hate"
2673,"RT @ShilpiSinghINC: लगता है कल सुबह फिर से SurgicalStrike का सीधा प्रसारण देखने को मिलेगा POK में!
कोई बादल नहीं होगा कोई रडार से गायब नहीं…",hate
2674,कंगना रनौत का ऑफिस अगर अवैध रूप से बना है। तो #BMC को पूरा अधिकार है इसे तोड़ने का।,fake
2675,कर्ज की किस्तें टालने का मामला। केंद्र सरकार ने सुप्रीम कोर्ट में कहा RBI सर्कुलर के अनुसार शर्तें पूरा करने वालों का 2 साल तक बढ़ सकता है मोरटोरियम। मामले पर कोर्ट कल फिर करेगा सुनवाई।@JagranNews,non-hostile
2676,"बिरयानी को मुस्लिमों और हिंदुओं के लिए अलग-अलग बर्तन में पकाया जाता है। हिंदुओं के लिए बिरयानी में टैबलेट मिलाई जाती है जो आपको नपुंसक बना सकता है। कोयंबटूर में रेहमान बिस्मिल्लाह के माशा अल्लाह नामक रेस्तरां को ऐसी बिरयानी बेचते हुए पकड़ा गया था। सावधान रहें! वे आप तक हर तरीके से पहुंचने की कोशिश कर रहे है।

","fake,hate"
2677,"पैंगोंग ही नहीं चिकन नेक पर भी सामरिक बढ़त हासिल करने की फिराक में है चीन
#IndiaChinaBorder #Pangong @PMOIndia @MEAIndia @DefenceMinIndia
https://t.co/q75C0z7fAU",non-hostile
2678,@sambitswaraj ये सब साले गली के कुत्ते  से भी बेकार है।,offensive
2679,"ये देखो शांतिदूतों द्वारा क्या हो रहा है, खाना लूटो और उसे खराब कर दो | किसी गरीब को खाना ना पहुँचने दो, ताकि सरकार बदनाम हो और गरीब भूखा मरे ! कैसी कौम है ये ????
",fake
2680,"टीवी स्टार के स्पोर्ट्स ब्रा पहनने पर कांग्रेस नेता ने किया हंगामा, अब बवाल के बाद मांगी माफी -
#SamyukthaHegde 

https://t.co/zBjI8klMzZ",non-hostile
2681,"इंग्लैंड को जीतने के लिए 191 रनों का लक्ष्य

#PAKvENG #ENGvPAK #Pakistan #England

https://t.co/abgtKtBnCf https://t.co/88411HAh7D",non-hostile
2682,"@myogiadityanath @lkopolice @ImNanap @scs_mishra @sanjusaharajha @RJatheri @TirlokH @Rashmi0090 आठ पुलिसकर्मियों का हत्यारा विकास दुबे कभी यूपी सरकार का अभिन्न अंग था और वर्तमान मुख्यमंत्री योगी आदित्यनाथ के साथ उठना बैठना भी था।
    यूपी पुलिस हत्याकांड की जांच सीबीआई से हो!",fake
2683,"क्या कोरोना की जांच के लिये कई और टेस्ट किट आ गई हैं?

#IndiaFightsCorona #COVID19 
@PIB_India @PrakashJavdekar @shashidigital https://t.co/DXEmctRaar",non-hostile
2684,मुझे फोन की गई धमकी दी गई बच्चे को जान से मारने तक की मैं डरती नहीं मैं आप लोगों को सूचित की  गरीब हूं कमजोर नहीं जिस दिन हमला हो गई मुझ पर मोदी के बाप भी उसे नहीं बचा पाएगी मैं किसी के सहारे जिंदा नहीं रहती हां मुझे झूठे आरोप में जेल भेज सकता है हमला करने की औकात नहीं उसे पता है,hate
2685,"उधर कुछ पत्रकारों (?) ने नाराजगी जताई है, कि मोर को दाना डालने की पूरी वीडियो बनवा दी, और हमें दाना डालते समय फोटो तक नहीं खिंचवाते।
#दुखद","hate,offensive"
2686,"#Banda दबंगों ने जमीन पर कब्जा करने को लेकर युवक का गिराया घर, शिकायत के बाद भी नहीं पहुंची पुलिस, पीड़ित ने SP कार्यालय में लगाई गुहार, बिसंडा थाने के ओरन गांव का मामला. @bandapolice @Uppolice #policemedianews",non-hostile
2687,"#IndiaFightsCorona:

📍 सफाई कर्मचारियों के लिए #कोविड19 के दौरान याद रखने योग्य बातें 👇

➡️ उचित पहचान पत्र 🆔साथ रखना आवश्यक।
➡️ वर्दी या ड्यूटी के कपड़े प्रतिदिन धोएं।
➡️ ड्यूटी समाप्त होने के बाद नियमित रूप से स्नान करें।

#StaySafe #IndiaWillWin https://t.co/fFDgBh977e",non-hostile
2688,"कंपनी #मुस्लिम की लेकिन नाम और फोटो #हिन्दू देवी देवताओं के है।
इन लोगो को इतनी हिम्मत इसलिए मिलती है क्योंकि हिन्दू कभी विरोध नही करता। मूर्ख हिन्दू भी समान दोषी जो इसका प्रयोग करता है","hate,offensive"
2689,"अमेरिका के राष्ट्रपति डोनाल्ड ट्रम्प ने कहा है कि कोरोना वायरस की रोकथाम के लिए ‘एस्‍ट्राजेनेका’ द्वारा विकसित टीका परीक्षण के तीसरे चरण में पहुंच गया है 
#HindiNews 
https://t.co/NN68HnBrAv",non-hostile
